experiment,architecture,activation,optimizer,seq_length,gradient_clipping,test_accuracy,test_f1_score,time_per_epoch,test_loss,train_accuracy,val_accuracy,train_loss,val_loss
BiLSTM_relu_rmsprop_50_noclip,Bidirectional_LSTM,relu,rmsprop,50,False,0.7638800144195557,0.7627106284856022,17.267107319831847,0.492401123046875,0.8468999862670898,0.7738000154495239,0.9042372107505798,0.4939357340335846
BiLSTM_tanh_adam_50_clip,Bidirectional_LSTM,tanh,adam,50,True,0.7620400190353394,0.7592421920348866,13.69480049610138,0.4799250066280365,0.9456999897956848,0.7494000196456909,0.1453581154346466,0.82766193151474
LSTM_tanh_adam_50_noclip,LSTM,tanh,adam,50,False,0.7592399716377258,0.7564936279937093,10.024916505813598,0.4869941771030426,0.9258999824523926,0.7537999749183655,0.19905279576778412,0.7887489795684814
RNN_relu_adam_100_clip,RNN,relu,adam,100,True,0.7583199739456177,0.7581834854852554,14.210250878334046,0.5090768337249756,0.697700023651123,0.7379999756813049,0.588568389415741,0.5502726435661316
BiLSTM_tanh_adam_50_noclip,Bidirectional_LSTM,tanh,adam,50,False,0.7578799724578857,0.7540168087934219,16.198342823982237,0.48416540026664734,0.952049970626831,0.7419999837875366,0.13026052713394165,0.9158100485801697
LSTM_tanh_adam_50_clip,LSTM,tanh,adam,50,True,0.7571600079536438,0.7538962145174304,9.819561195373534,0.48884183168411255,0.9252499938011169,0.7490000128746033,0.19252975285053253,0.7196045517921448
BiLSTM_relu_adam_50_noclip,Bidirectional_LSTM,relu,adam,50,False,0.7468799948692322,0.7467002357916589,33.40285277366638,0.6819491982460022,0.8830999732017517,0.7462000250816345,0.3020300567150116,0.6312492489814758
BiLSTM_relu_sgd_50_clip,Bidirectional_LSTM,relu,sgd,50,True,0.7351999878883362,0.7342483898310659,33.287446880340575,0.5267847776412964,0.7261499762535095,0.728600025177002,0.5446844100952148,0.53690505027771
BiLSTM_tanh_sgd_50_noclip,Bidirectional_LSTM,tanh,sgd,50,False,0.7345200181007385,0.7322992708258071,33.8238264799118,0.5267212986946106,0.7504500150680542,0.7264000177383423,0.5077432990074158,0.5346891283988953
LSTM_tanh_sgd_50_noclip,LSTM,tanh,sgd,50,False,0.73444002866745,0.734429526325431,19.78241970539093,0.547867476940155,0.7228000164031982,0.7319999933242798,0.5647264122962952,0.5552898645401001
RNN_tanh_adam_50_clip,RNN,tanh,adam,50,True,0.7335600256919861,0.7334685822824245,6.156478714942932,0.56789630651474,0.9572499990463257,0.7053999900817871,0.1199137419462204,0.9378504157066345
BiLSTM_tanh_sgd_50_clip,Bidirectional_LSTM,tanh,sgd,50,True,0.7320399880409241,0.7293833983886918,34.53447721004486,0.5303667783737183,0.7541999816894531,0.7264000177383423,0.5029103755950928,0.5393123626708984
BiLSTM_relu_sgd_50_noclip,Bidirectional_LSTM,relu,sgd,50,False,0.7316399812698364,0.7316056072983728,32.375178003311156,0.5329943895339966,0.7105000019073486,0.7265999913215637,0.5671339631080627,0.5476632118225098
LSTM_tanh_sgd_50_clip,LSTM,tanh,sgd,50,True,0.7290400266647339,0.7288212780900563,19.683183789253235,0.5752429962158203,0.7220500111579895,0.7305999994277954,0.563732922077179,0.57952481508255
RNN_tanh_adam_25_clip,RNN,tanh,adam,25,True,0.7159600257873535,0.7156979503855296,4.530508303642273,0.5678696632385254,0.9664499759674072,0.6873999834060669,0.09385119378566742,1.2588609457015991
BiLSTM_tanh_adam_25_clip,Bidirectional_LSTM,tanh,adam,25,True,0.7159199714660645,0.7126720615336658,9.110643577575683,0.5387505292892456,0.9045000076293945,0.7038000226020813,0.23331496119499207,0.7408609390258789
LSTM_tanh_adam_25_clip,LSTM,tanh,adam,25,True,0.7138000130653381,0.7101141543477094,6.651989984512329,0.5501800179481506,0.900950014591217,0.692799985408783,0.24277229607105255,0.7818914651870728
RNN_tanh_adam_100_noclip,RNN,tanh,adam,100,False,0.7020000219345093,0.7019990769123406,14.57487850189209,0.6030240058898926,0.7417500019073486,0.5631999969482422,0.5284779667854309,0.7344086170196533
LSTM_relu_adam_50_noclip,LSTM,relu,adam,50,False,0.6854400038719177,0.6850208287426909,19.320100808143614,0.6402175426483154,0.6101499795913696,0.6150000095367432,1.5841346979141235,0.6833081245422363
